workout_number,date,start_time,workout_name,workout_duration_minutes,workout_volume
1,2023-07-30,16:49:28,Arms,44,2108
2,2023-08-01,16:16:08,Back and abs,43,3630
3,2023-08-03,15:08:07,Legs,50,7024
4,2023-08-05,13:07:31,Arms,50,2741
5,2023-08-06,09:01:55,Back and abs,53,4140
6,2023-08-14,11:58:38,Arms,50,2758
7,2023-08-15,12:50:39,Legs,48,6935
8,2023-08-16,13:19:34,Back and abs,41,4141
9,2023-08-18,09:17:40,Arms,54,3773
10,2023-08-20,13:35:36,Back and abs,47,4497
11,2023-08-21,09:27:26,Legs,46,7190
12,2023-08-25,09:24:19,Arms,53,3952
13,2023-08-27,14:25:12,Back and abs,46,5152
14,2023-08-28,11:43:45,Legs,47,6986
15,2023-08-29,10:06:37,Arms,51,4374
16,2023-08-30,10:27:26,Back and abs,41,5298
17,2023-09-03,15:12:38,Legs,64,7505
18,2023-09-04,09:26:17,Arms,61,4210
19,2023-09-05,08:15:42,Back and abs,62,5247
20,2023-09-06,13:13:18,Legs,58,7672
21,2023-09-07,13:16:16,Arms,68,4807
22,2023-09-08,11:21:02,Back and abs,59,4941
23,2023-09-09,13:24:06,Legs,72,8640
24,2023-09-11,09:12:52,Arms,66,4569
25,2023-09-12,09:07:12,Back and abs,69,4972
26,2023-09-13,11:01:57,Legs,64,7447
27,2023-09-15,08:58:28,Arms,68,4449
28,2023-09-17,12:05:23,Back and abs,61,4557
29,2023-09-20,09:10:13,Legs,45,5635
30,2023-09-23,14:39:03,Arms,51,4148
31,2023-09-26,11:14:46,Back and abs,48,4699
32,2023-09-27,13:37:33,Arms,66,3692
33,2023-09-28,12:34:17,Legs,69,5921
34,2023-09-29,09:49:38,Back and abs,55,3504
35,2023-10-02,09:28:15,Arms,67,4591
36,2023-10-03,09:15:21,Back and abs,49,3867
37,2023-10-04,09:27:13,Legs,59,6289
38,2023-10-05,10:09:16,Arms,65,4158
39,2023-10-06,09:32:05,Back and abs,61,3997
40,2023-10-07,14:41:26,Legs,52,6381
41,2023-10-09,09:51:49,Arms,61,4313
42,2023-10-10,11:48:40,Back and abs,55,4134
43,2023-10-11,09:56:52,Legs,44,5456
44,2023-10-13,09:16:09,Arms,63,4248
45,2023-10-16,10:58:18,Back and abs,58,3982
46,2023-10-17,10:44:32,Legs,43,5496
47,2023-10-18,13:34:11,Arms,59,4602
48,2023-10-19,11:24:02,Back and abs,55,4433
49,2023-10-20,09:28:12,Legs,41,5452
50,2023-10-21,08:45:19,Arms,63,4859
51,2023-10-24,10:38:06,Back and abs,48,4329
52,2023-10-25,10:52:42,Legs,43,6228
53,2023-10-26,08:48:21,Arms,22,833
54,2023-10-28,09:05:08,Arms,60,5353
55,2023-10-29,09:31:39,Legs,47,6686
56,2023-10-31,08:32:39,Arms,54,4710
57,2023-11-01,08:09:03,Legs,44,6008
58,2023-11-07,15:01:00,"Push 1 (chest, tricep, shoulders)",46,3638
59,2023-11-08,09:17:57,"Pull 1 (back, biceps)",44,2564
60,2023-11-09,14:26:03,Legs 1,44,3388
61,2023-11-10,08:27:07,"Push 2 (chest, shoulders, triceps)",62,2996
62,2023-11-12,08:54:36,"Pull 2 (back, biceps)",61,4128
63,2023-11-15,17:19:15,Legs & Core 2,50,6229
64,2023-11-16,10:30:27,"Push 1 (chest, tricep, shoulders)",56,3195
65,2023-11-17,07:54:32,"Pull 1 (back, biceps)",53,3154
66,2023-11-18,07:14:39,Legs 1,61,3906
67,2023-11-20,11:17:46,"Push 2 (chest, shoulders, triceps)",57,3247
68,2023-11-21,16:09:11,"Pull 2 (back, biceps)",66,4619
69,2023-11-22,09:26:18,Legs & Core 2,63,4826
70,2023-11-23,09:23:53,"Push 1 (chest, tricep, shoulders)",47,2201
71,2023-11-25,09:39:01,"Pull 1 (back, biceps)",53,3134
72,2023-11-26,12:46:04,Legs 1,56,4201
73,2023-11-27,08:13:27,"Push 2 (chest, shoulders, triceps)",52,2474
74,2023-11-29,07:20:09,"Pull 2 (back, biceps)",64,4281
75,2023-11-30,15:37:35,Legs & Core 2,55,4665
76,2023-12-01,10:18:46,"Push 1 (chest, tricep, shoulders)",54,3249
77,2023-12-02,11:34:34,"Pull 1 (back, biceps)",51,2745
78,2023-12-03,11:11:41,Legs 1,62,4288
79,2023-12-05,11:58:35,"Push 2 (chest, shoulders, triceps)",51,2891
80,2023-12-06,13:49:59,"Pull 2 (back, biceps)",69,4314
81,2023-12-07,09:44:11,Legs & Core 2,31,3173
82,2023-12-09,10:44:19,"Push 1 (chest, tricep, shoulders)",56,2901
83,2023-12-10,09:04:12,"Pull 1 (back, biceps)",54,2718
84,2023-12-11,17:44:04,Legs 1,58,3943
85,2023-12-12,16:36:29,"Push 2 (chest, shoulders, triceps)",55,3117
86,2023-12-14,17:06:20,"Pull 2 (back, biceps)",63,4301
87,2023-12-15,09:40:07,Legs & Core 2,62,5369
88,2023-12-20,18:33:45,"Push 1 (chest, tricep, shoulders)",51,3072
89,2023-12-21,09:26:51,"Pull 1 (back, biceps)",46,2786
90,2023-12-23,10:49:02,Legs 1,69,4041
91,2023-12-24,08:39:05,"Push 2 (chest, shoulders, triceps)",63,3222
92,2023-12-27,08:49:00,"Pull 2 (back, biceps)",66,3917
93,2023-12-28,09:37:11,Legs & Core 2,63,5804
94,2023-12-30,08:19:25,"Push 1 (chest, tricep, shoulders)",32,1550
95,2023-12-31,15:54:44,"Pull 1 (back, biceps)",56,2603
96,2024-01-01,11:24:09,Legs 1,75,4640
97,2024-01-03,16:39:33,"Push 2 (chest, shoulders, triceps)",254,3306
98,2024-01-04,18:06:52,"Pull 2 (back, biceps)",68,4024
99,2024-01-05,14:13:56,Legs & Core 2,65,6453
100,2024-01-07,18:17:49,"Push 1 (chest, tricep, shoulders)",63,3200
101,2024-01-08,18:15:49,"Pull 1 (back, biceps)",62,2907
102,2024-01-10,13:01:54,Legs 1,67,4463
103,2024-01-11,17:03:08,"Push 2 (chest, shoulders, triceps)",63,3611
104,2024-01-13,07:52:26,"Pull 2 (back, biceps)",72,4154
105,2024-01-14,12:36:35,Legs & Core 2,68,6182
106,2024-01-15,11:52:43,"Push 1 (chest, tricep, shoulders)",70,2302
107,2024-01-17,10:15:53,"Pull 1 (back, biceps)",67,2739
108,2024-01-20,10:13:02,Legs 1,66,4158
109,2024-01-21,08:16:06,"Push 2 (chest, shoulders, triceps)",68,3258
110,2024-01-23,11:10:16,"Pull 2 (back, biceps)",78,4299
111,2024-01-25,11:36:33,Legs & Core 2,62,6570
112,2024-01-27,12:55:06,"Push 1 (chest, tricep, shoulders)",60,2713
113,2024-01-28,10:14:48,"Pull 1 (back, biceps)",85,3652
114,2024-01-29,16:27:05,Legs 1,69,4370
115,2024-01-30,18:16:39,"Push 2 (chest, shoulders, triceps)",62,3548
116,2024-02-01,17:46:06,"Pull 2 (back, biceps)",61,4310
117,2024-02-02,16:03:18,Legs & Core 2,54,5766
118,2024-02-05,17:45:19,"Push 1 (chest, tricep, shoulders)",57,1832
119,2024-02-06,18:02:43,"Pull 1 (back, biceps)",59,3690
120,2024-02-08,19:02:20,Legs 1,69,4806
121,2024-02-09,18:19:02,"Push 2 (chest, shoulders, triceps)",58,3969
122,2024-02-11,15:08:33,"Pull 2 (back, biceps)",78,4528
123,2024-02-12,17:56:20,Legs & Core 2,54,5495
124,2024-02-13,17:33:56,"Push 1 (chest, tricep, shoulders)",69,2987
125,2024-02-15,15:35:24,"Pull 1 (back, biceps)",63,3451
126,2024-02-17,12:25:00,Legs 1,65,4703
127,2024-02-18,17:45:54,"Push 2 (chest, shoulders, triceps)",63,3230
128,2024-02-20,18:16:04,"Pull 2 (back, biceps)",44,3823
129,2024-02-21,18:14:01,Legs & Core 2,58,6875
130,2024-02-22,18:02:11,"Push 1 (chest, tricep, shoulders)",83,2788
131,2024-02-24,11:11:10,"Pull 1 (back, biceps)",66,3055
132,2024-02-25,12:16:37,Legs 1,61,4447
133,2024-02-27,17:58:15,"Push 2 (chest, shoulders, triceps)",61,3060
134,2024-02-28,19:44:25,"Pull 2 (back, biceps)",70,4652
135,2024-03-01,18:36:29,Legs & Core 2,43,5911
136,2024-03-02,10:42:33,"Push 1 (chest, tricep, shoulders)",89,2952
137,2024-03-03,17:13:38,"Pull 1 (back, biceps)",26,500
138,2024-03-06,19:57:25,"Pull 1 (back, biceps)",51,3176
139,2024-03-07,18:36:51,Legs 1,35,2550
140,2024-03-08,17:53:22,"Push 2 (chest, shoulders, triceps)",67,3621
141,2024-03-11,17:02:08,"Pull 2 (back, biceps)",62,4230
142,2024-03-13,20:06:19,Legs & Core 2,45,5059
143,2024-03-15,15:21:34,"Push 1 (chest, tricep, shoulders)",62,2741
144,2024-03-16,14:26:38,"Pull 1 (back, biceps)",60,3390
145,2024-03-17,12:49:25,Legs 1,65,4955
146,2024-03-18,18:47:46,"Push 2 (chest, shoulders, triceps)",60,3462
147,2024-03-20,19:09:48,"Pull 2 (back, biceps)",74,4500
148,2024-03-21,19:05:50,Legs & Core 2,48,4593
149,2024-03-23,13:03:19,"Push 1 (chest, tricep, shoulders)",69,2916
150,2024-03-24,12:24:06,"Pull 1 (back, biceps)",67,4228
151,2024-03-26,17:17:20,Legs 1,63,3875
152,2024-03-27,20:12:10,"Push 2 (chest, shoulders, triceps)",68,3851
153,2024-03-28,18:12:16,"Pull 2 (back, biceps)",50,3605
154,2024-03-29,17:47:05,Legs & Core 2,52,4708
155,2024-03-30,11:51:55,"Push 1 (chest, tricep, shoulders)",56,3247
156,2024-04-01,12:40:41,"Pull 1 (back, biceps)",65,3369
157,2024-04-05,17:37:16,Legs 1,64,3805
158,2024-04-06,11:14:08,"Push 2 (chest, shoulders, triceps)",82,4050
159,2024-04-08,17:58:04,"Pull 2 (back, biceps)",87,4303
160,2024-04-10,18:20:27,Legs & Core 2,44,6926
161,2024-04-12,19:22:15,"Push 1 (chest, tricep, shoulders)",102,2846
162,2024-04-13,13:39:48,"Pull 1 (back, biceps)",83,3306
163,2024-04-15,09:18:18,Legs 1,99,2910
164,2024-04-18,19:40:14,"Push 2 (chest, shoulders, triceps)",125,3980
165,2024-04-19,19:18:16,"Pull 2 (back, biceps)",63,3146
166,2024-04-22,16:08:58,Legs & Core 2,51,7082
167,2024-04-23,08:44:37,"Push 1 (chest, tricep, shoulders)",74,3050
168,2024-04-25,18:33:39,"Pull 1 (back, biceps)",69,3448
169,2024-04-26,13:29:48,Legs 1,29,1755
170,2024-04-28,08:34:13,"Push 2 (chest, shoulders, triceps)",80,3709
171,2024-04-29,18:00:47,"Pull 2 (back, biceps)",77,3919
172,2024-04-30,18:29:04,Legs & Core 2,62,4299
173,2024-05-01,16:49:38,"Push 1 (chest, tricep, shoulders)",74,3047
174,2024-05-03,14:42:36,"Pull 1 (back, biceps)",67,3314
175,2024-05-04,12:07:10,Legs 1,71,2455
176,2024-05-06,19:10:47,"Push 2 (chest, shoulders, triceps)",54,2476
177,2024-05-08,13:28:39,"Pull 2 (back, biceps)",72,3960
178,2024-05-10,14:37:07,Legs & Core 2,54,5989
179,2024-05-11,13:49:38,"Push 1 (chest, tricep, shoulders)",85,2771
180,2024-05-13,16:47:37,"Pull 1 (back, biceps)",47,3419
181,2024-05-15,12:23:05,Legs 1,66,4861
182,2024-05-17,14:37:25,"Push 2 (chest, shoulders, triceps)",71,3329
183,2024-05-18,13:04:28,"Pull 2 (back, biceps)",44,3409
184,2024-05-20,16:32:48,Legs & Core 2,55,7958
185,2024-05-22,16:08:30,"Push 1 (chest, tricep, shoulders)",62,2461
186,2024-05-24,16:46:41,"Pull 1 (back, biceps)",49,3353
187,2024-05-26,16:46:48,Legs 1,62,3180
188,2024-05-28,16:02:00,"Push 2 (chest, shoulders, triceps)",72,3849
189,2024-06-01,09:28:04,"Pull 2 (back, biceps)",63,3661
190,2024-06-02,18:50:40,Legs & Core 2,63,6679
191,2024-06-04,19:14:52,"Push 1 (chest, tricep, shoulders)",59,2562
192,2024-06-05,16:57:37,"Pull 1 (back, biceps)",51,3185
193,2024-06-07,13:00:17,Legs 1,80,3465
194,2024-06-09,17:39:05,"Push 2 (chest, shoulders, triceps)",84,4174
195,2024-06-11,12:30:42,"Pull 2 (back, biceps)",67,4313
196,2024-06-13,16:23:35,Legs & Core 2,60,8677
197,2024-06-15,10:37:58,"Push 1 (chest, tricep, shoulders)",74,2985
198,2024-06-17,16:36:23,"Pull 1 (back, biceps)",62,3867
199,2024-06-19,18:23:05,Legs 1,82,3527
200,2024-06-20,12:07:20,"Push 2 (chest, shoulders, triceps)",64,2462
201,2024-06-27,18:49:00,"Pull 2 (back, biceps)",59,4057
202,2024-07-01,10:45:10,Legs & Core 2,51,6220
203,2024-07-02,13:51:17,"Push 1 (chest, tricep, shoulders)",70,3073
204,2024-07-05,17:29:00,"Pull 1 (back, biceps)",60,3867
205,2024-07-07,18:21:04,Legs 1,53,2955
206,2024-07-09,12:35:59,"Push 2 (chest, shoulders, triceps)",149,3616
207,2024-07-11,16:42:20,"Pull 2 (back, biceps)",78,4869
208,2024-07-16,17:43:40,"Push 1 (chest, tricep, shoulders)",58,3321
209,2024-07-18,17:36:14,"Pull 1 (back, biceps)",64,3103
210,2024-07-22,17:06:57,Legs 1,69,3612
211,2024-07-23,17:35:03,"Push 2 (chest, shoulders, triceps)",36,2453
212,2024-07-25,18:38:34,"Pull 2 (back, biceps)",268,3756
213,2024-07-26,17:15:20,"Push 1 (chest, tricep, shoulders)",74,2779
214,2024-07-29,19:13:42,Legs & Core 2,59,5873
215,2024-07-30,20:05:35,"Pull 1 (back, biceps)",56,3268
216,2024-08-01,18:01:05,Legs 1,119,5048
217,2024-08-04,09:11:58,"Push 2 (chest, shoulders, triceps)",64,426
218,2024-08-06,17:55:40,HIIT,70,0
219,2024-08-07,17:12:13,"Push 2 (chest, shoulders, triceps)",64,4138
220,2024-08-08,18:10:40,Legs & Core 2,50,6664
221,2024-08-12,14:01:45,"Pull 2 (back, biceps)",73,4836
222,2024-08-14,17:03:48,"Push 1 (chest, tricep, shoulders)",74,2235
223,2024-08-16,16:37:04,"Pull 1 (back, biceps)",91,4377
224,2024-08-19,15:25:26,Legs 1,68,3202
225,2024-08-21,18:46:51,"Push 2 (chest, shoulders, triceps)",62,3650
226,2024-08-26,09:17:27,"Pull 2 (back, biceps)",87,4754
227,2024-08-27,18:52:11,Legs & Core 2,78,7366
228,2024-08-28,19:09:57,"Push 1 (chest, tricep, shoulders)",70,2165
229,2024-08-30,19:07:50,"Pull 1 (back, biceps)",101,2693
230,2024-09-06,15:16:11,"Push 2 (chest, shoulders, triceps)",74,4215
231,2024-09-07,10:22:59,Legs 1,35,2460
232,2024-09-12,17:18:28,"Pull 2 (back, biceps)",43,2212
233,2024-09-20,15:27:26,"Push 1 (chest, tricep, shoulders)",72,1763
234,2024-09-22,13:17:58,"Pull 1 (back, biceps)",50,2557
235,2024-09-24,18:39:21,"Push 2 (chest, shoulders, triceps)",62,5218
236,2024-09-26,19:25:04,"Pull 2 (back, biceps)",21,700
237,2024-09-27,17:04:16,"Push 1 (chest, tricep, shoulders)",61,2660
238,2024-10-01,16:44:21,"Pull 1 (back, biceps)",65,3120
239,2024-10-03,18:58:28,Legs 1,50,2560
240,2024-10-04,18:18:42,"Push 2 (chest, shoulders, triceps)",57,2900
241,2024-10-06,15:49:13,"Pull 2 (back, biceps)",54,3433
242,2024-10-08,18:14:28,"Push 1 (chest, tricep, shoulders)",59,2349
243,2024-10-11,15:13:42,"Pull 1 (back, biceps)",68,2802
244,2024-10-13,15:38:30,Legs 1,54,1690
245,2024-10-14,17:02:37,"Push 2 (chest, shoulders, triceps)",63,2863
246,2024-10-21,12:12:31,"Pull 2 (back, biceps)",57,3231
247,2024-10-22,19:10:46,"Push 1 (chest, tricep, shoulders)",49,1257
248,2024-10-25,16:32:01,"Pull 1 (back, biceps)",68,2791
249,2024-10-29,12:49:02,"Push 2 (chest, shoulders, triceps)",52,2668
250,2024-11-04,17:03:55,"Pull 2 (back, biceps)",55,2909
251,2024-11-07,14:45:31,Legs & Core 2,64,6914
252,2024-11-10,16:23:12,"Push 1 (chest, tricep, shoulders)",69,2020
253,2024-11-12,16:47:55,"Pull 1 (back, biceps)",65,2537
254,2024-11-14,16:23:52,Legs 1,54,2932
255,2024-11-17,17:30:52,"Push 2 (chest, shoulders, triceps)",65,2811
256,2024-11-18,15:10:47,"Pull 2 (back, biceps)",63,2756
257,2024-11-23,14:35:16,Legs & Core 2,47,6110
258,2024-11-24,12:08:21,"Push 1 (chest, tricep, shoulders)",63,2269
259,2024-11-28,18:10:28,"Pull 1 (back, biceps)",56,2799
260,2024-11-29,16:19:29,Legs 1,73,3518
261,2024-12-02,17:00:32,"Push 2 (chest, shoulders, triceps)",46,1397
262,2024-12-04,19:00:00,"Pull 2 (back, biceps)",55,3258
263,2024-12-11,19:36:12,"Push 1 (chest, tricep, shoulders)",67,2175
264,2024-12-12,19:58:22,"Pull 1 (back, biceps)",46,2926
265,2024-12-15,14:29:49,Legs 1,71,3494
266,2024-12-17,17:20:10,"Push 2 (chest, shoulders, triceps)",57,2592
267,2024-12-19,17:34:27,"Pull 2 (back, biceps)",49,2987
268,2024-12-21,14:57:49,Legs & Core 2,55,6358
269,2024-12-23,15:30:17,"Push 1 (chest, tricep, shoulders)",62,2007
270,2025-01-01,17:57:32,"Pull 1 (back, biceps)",56,2771
271,2025-01-06,10:32:34,"Push 2 (chest, shoulders, triceps)",63,2810
272,2025-01-07,17:00:09,"Pull 2 (back, biceps)",52,2815
273,2025-01-17,14:49:00,"Push 1 (chest, tricep, shoulders)",33,940
274,2025-01-20,18:16:00,"Pull 2 (back, biceps)",48,2372
275,2025-01-22,17:20:33,Legs & Core 2,51,6252
276,2025-01-24,14:25:35,"Push 1 (chest, tricep, shoulders)",53,1870
277,2025-01-27,18:29:11,"Pull 1 (back, biceps)",53,2325
278,2025-01-28,17:04:27,Legs 1,45,3031
279,2025-01-30,10:59:30,"Push 2 (chest, shoulders, triceps)",53,2502
280,2025-02-02,17:19:10,"Pull 2 (back, biceps)",85,2846
281,2025-02-06,18:29:23,Legs & Core 2,54,5171
282,2025-02-07,18:43:10,"Push 1 (chest, tricep, shoulders)",45,2280
283,2025-02-08,08:39:48,"Pull 1 (back, biceps)",23,1011
284,2025-02-10,18:03:44,"Pull 1 (back, biceps)",38,2171
285,2025-02-12,18:39:57,Legs 1,51,3045
286,2025-02-14,19:31:19,"Push 2 (chest, shoulders, triceps)",52,1734
287,2025-02-20,18:29:07,"Pull 2 (back, biceps)",46,2508
288,2025-02-23,16:55:53,Legs & Core 2,52,5120
289,2025-02-25,18:20:07,"Push 1 (chest, tricep, shoulders)",56,2562
290,2025-02-27,18:42:30,"Pull 1 (back, biceps)",47,2373
291,2025-03-03,18:23:30,Legs 1,43,3157
292,2025-03-05,18:51:11,"Push 2 (chest, shoulders, triceps)",47,1302
293,2025-03-07,17:58:33,"Pull 2 (back, biceps)",46,2561
294,2025-03-11,18:01:18,Legs & Core 2,41,3560
295,2025-03-12,18:56:38,"Push 1 (chest, tricep, shoulders)",50,2245
296,2025-03-13,18:37:48,"Pull 1 (back, biceps)",47,2263
297,2025-03-17,18:53:23,Legs 1,46,3219
298,2025-03-19,19:00:17,"Push 2 (chest, shoulders, triceps)",40,1296
299,2025-03-24,19:19:59,"Pull 2 (back, biceps)",38,2579
300,2025-03-26,18:57:23,Legs & Core 2,55,3600
301,2025-03-28,18:45:42,"Push 1 (chest, tricep, shoulders)",50,1060
302,2025-04-02,18:54:27,"Pull 1 (back, biceps)",47,2155
303,2025-04-08,17:40:12,"Push 2 (chest, shoulders, triceps)",52,1453
304,2025-04-12,14:17:28,"Pull 2 (back, biceps)",45,2609
305,2025-04-14,16:56:02,Legs & Core 2,49,3660
306,2025-04-16,17:23:37,"Push 1 (chest, tricep, shoulders)",60,1082
307,2025-04-22,18:54:33,"Pull 1 (back, biceps)",46,2481
308,2025-04-24,18:35:12,Legs 1,38,3219
309,2025-04-25,11:30:15,"Push 2 (chest, shoulders, triceps)",45,1300
310,2025-04-27,12:46:21,"Pull 2 (back, biceps)",51,2165
311,2025-04-30,12:38:34,Legs & Core 2,45,3390
312,2025-05-01,18:58:52,"Push 1 (chest, tricep, shoulders)",50,1892
313,2025-05-06,19:08:50,"Pull 1 (back, biceps)",44,2093
314,2025-05-08,19:21:20,Legs 1,11,870
315,2025-05-13,19:35:08,"Pull 2 (back, biceps)",53,2630
316,2025-05-15,18:01:25,Legs & Core 2,46,2705
317,2025-05-19,19:27:21,I'll workout ,37,615
318,2025-05-29,17:40:39,"Push 1 (chest, tricep, shoulders)",46,924
319,2025-05-30,18:17:39,"Pull 1 (back, biceps)",48,3638
320,2025-06-03,18:46:18,Legs 1,50,1852
321,2025-06-09,18:45:24,"Push 2 (chest, shoulders, triceps)",45,856
322,2025-06-11,19:14:34,"Pull 2 (back, biceps)",48,2140
323,2025-06-17,18:00:52,Legs & Core 2,48,2702
324,2025-06-18,16:40:33,"Push 1 (chest, tricep, shoulders)",44,1126
